Comment,Designator,Footprint,Part #
LED,"D135,D14,D115,D152,D171,D50,D138,D98,D87,D174,D176,D29,D34,D79,D159,D124,D95,D28,D85,D38,D88,D77,D155,D30,D63,D58,D15,D53,D157,D9,D145,D86,D66,D83,D32,D104,D112,D137,D148,D67,D111,D108,D8,D163,D7,D31,D80,D27,D36,D131,D156,D89,D5,D177,D116,D3,D130,D126,D140,D127,D165,D57,D51,D62,D90,D54,D16,D69,D164,D158,D42,D146,D94,D97,D17,D149,D23,D55,D170,D139,D26,D13,D68,D153,D20,D35,D173,D48,D74,D33,D52,D100,D121,D168,D133,D101,D18,D118,D41,D123,D82,D99,D119,D39,D76,D107,D128,D113,D136,D24,D105,D10,D141,D1,D70,D73,D142,D106,D91,D154,D125,D117,D120,D60,D109,D169,D151,D147,D129,D4,D143,D40,D81,D102,D172,D71,D45,D6,D96,D75,D132,D25,D12,D175,D114,D43,D64,D59,D144,D44,D150,D11,D161,D19,D46,D160,D110,D65,D78,D49,D56,D72,D134,D122,D84,D167,D162,D92,D21,D103,D61,D166,D47,D37,D2,D93,D22",XINGLIGHT-XL-1010RGBC,C5349953
Cap,"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15,C16,C17,C18,C19,C20",C_0402_1005Metric,C1525
